"z" "snh" "snl" "onl" "onh" "dnl" "dnh" "knl" "knh"
"1" 17.296 66.9857 47.3655 57.3678 78.9186 40.3125 61.639 7.81612 10.9691
"2" 13.214 166.138 149.229 169.048 191.204 131.815 148.129 21.0191 22.1114
"3" 10.84 254.986 244.649 275.548 283.255 224.614 232.859 31.2024 32.766
"4" 9.259 337.463 337.287 364.377 431.481 303.222 309.5918 41.3102 32.8687
"5" 8.118 413.761 411.736 522.256 593.9319 381.0187 384.8013 41.41053 34.1797
"6" 7.248 489.094 504.057 672.193 789.51 457.829 436.687 42.434 38.5754
"7" 6.56 514.6426 556.4766 851.244 956.1018 515.7115 465.3343 43.76054 39.19406
"8" 5.999 546.4997 617.375 1022.134 1102.4986 553.422 467.3416 46.4723 38.33492
"9" 5.531 563.2132 661.77854 1196.3481 1262.7279 577.40449 480.47366 48.56413 38.41291
"10" 5.134 563.0916 679.2276 1302.917 1384.2433 598.0658 476.5467 50.03372 35.15467
"11" 4.792 547.3419 700.1343 1449.5199 1493.1014 597.0019 453.3718 45.33973 34.32328
"12" 4.494 533.4418 688.6941 1568.3682 1633.4539 583.7067 432.4556 43.08249 32.56096
"13" 4.231 517.2592 650.89795 1667.6598 1749.0476 556.80951 415.3354 39.651429 31.75741
"14" 3.997 515.75496 651.522 1748.555 1817.027 533.5227 412.844479 38.19694 29.9734354
"15" 3.788 504.5107 617.5685 1864.6238 1824.4997 504.6108 389.25701 38.69117 27.726782
"16" 3.599 482.3424 591.541 1963.0166 1743.3124 478.6673 349.4819 36.23054 20.732995
"17" 3.427 459.1774 568.7919 2086.3395 1724.1676 470.1714 313.3287 33.48129 17.333932
"18" 3.27 442.361 564.7788 2056.7547 1696.5033 449.5083 295.4507 31.71276 14.47586
"19" 3.127 431.3164 536.6939 1973.9894 1730.5414 406.4577 282.6114 25.874832 12.660759
"20" 2.994 405.9004256 520.5737 1970.0151 1738.58655 383.2213 277.2731 23.985535 11.584038
"21" 2.872 382.2214227 497.7565 1965.278 1721.0091 364.1326 266.4974524 21.393403 10.724307
"22" 2.758 350.252752 496.9332 1945.2897 1617.9848 354.6671 249.9985366 18.970893 9.310689
"23" 2.652 316.2181042 476.3643 1963.9887 1595.76 341.0046 231.964742 17.83982 7.864463
"24" 2.553 291.100615 468.0202 1958.4498 1557.8405 331.4663 209.008388 15.779268 7.290248
"25" 2.46 256.833608 465.5589 1952.1624 1514.71293 315.4522 195.531948 13.56107 7.079291
"26" 2.373 240.817537 451.8082 1942.7653 1517.02957 312.4768 178.295217 13.251163 6.415911
"27" 2.291 211.290757 445.1762 1960.7076 1458.16071 304.4713 163.857073 11.481687 6.256788
"28" 2.214 198.385169 442.6296 1957.8502 1442.32805 290.421 152.343168 10.91029 4.98931
"29" 2.141 182.436396 421.4126 1949.9955 1402.66925 287.4628 145.063511 9.706824 4.39224
"30" 2.072 168.92742 430.2004 1975.1972 1400.46933 278.4077 136.639716 9.585811 4.695714
"31" 2.006 154.285227 413.3182 1938.9643 1383.35841 280.76194 126.881682 7.892884 4.683948
"32" 1.944 143.76702 412.7437 1938.7391 1364.31681 272.09645 119.912933 9.605413 3.539715
"33" 1.884 136.593694 405.56224 1916.66118 1368.82307 270.90065 112.807092 8.043587 4.098558
"34" 1.827 128.51443 400.40522 1918.23058 1343.61759 262.90661 107.939741 7.96725 3.523683
"35" 1.773 123.83276 383.95705 1900.81577 1340.39794 258.74865 99.523477 7.575529 3.4054158
"36" 1.722 113.45323 383.57619 1891.81851 1326.32329 251.5172 95.392638 6.976153 2.851316
"37" 1.672 108.9948847 371.0072 1869.87651 1313.82066 252.07424 90.7177059 5.993161 2.5922787
"38" 1.625 100.602199 375.8651 1858.91065 1270.1598 241.86779 84.354496 6.605243 2.931763
"39" 1.579 98.89612 354.4457831 1816.75976 1214.30154 245.05746 79.294224 6.062942 2.282064
"40" 1.535 91.78892 319.6978851 1730.61515 1179.096 230.1182601 77.9167 5.540845 2.245486
"41" 1.493 89.06821 297.696658 1669.5652 1140.54753 221.1912856 71.6676621 5.034583 1.8635341
"42" 1.453 90.47566 272.8895151 1612.95265 1090.0763 198.677823 69.133129 4.560531 2.025916
"43" 1.414 87.65284 248.542458 1581.16918 1057.54599 187.0088198 65.444406 3.570876 1.9508824
"44" 1.376 88.41514 231.855097 1521.24914 1028.10637 179.204564 66.055242 3.796118 1.9063038
"45" 1.34 86.61214 213.575948 1467.16471 1003.85935 164.708383 65.027248 3.533553 1.9571623
"46" 1.305 87.63773 200.403744 1421.45532 961.2158 157.880753 63.93098 3.478884 1.5980473
"47" 1.271 85.01952 188.882755 1398.83338 942.02981 147.74415 61.41129 2.813279 1.3696051
"48" 1.238 87.62287 178.964948 1371.71682 906.86769 139.33346 60.35063 3.4446493 1.5501023
"49" 1.206 88.30477 167.054327 1340.24829 887.04534 134.758137 56.09969 2.9633087 1.3797813
"50" 1.175 85.07513 157.568061 1298.89842 859.89123 125.989217 55.67746 2.618276 1.5403751
"51" 1.145 84.66733 147.116606 1291.20552 834.10407 117.27019 54.28361 2.60944 1.2819271
"52" 1.116 82.80245 141.1745 1254.69986 811.27849 112.322265 51.95441 2.647242 1.5467749
"53" 1.088 85.71286 131.057996 1234.58336 776.1135 105.083093 50.09106 2.722852 1.4727479
"54" 1.061 83.57119 124.68766 1199.87587 762.9157 103.556687 50.99616 2.5359027 1.1956573
"55" 1.035 83.47948 124.196514 1179.58915 753.32177 96.600766 46.81222 2.2747784 1.2316064
"56" 1.009 78.53651 115.410534 1175.00508 714.75065 91.317929 51.96843 2.2171421 1.2335578
"57" 0.984 80.0232246 110.893281 1136.01009 687.8918 90.5870432 47.9723892 2.587465 1.3139394
"58" 0.959 78.9780993 106.05907 1120.28582 685.85814 87.574664 49.25204 2.295478 1.0178137
"59" 0.935 76.784434 105.34572 1118.97951 659.01901 80.586233 48.659149 2.0264528 0.96919
"60" 0.912 74.710029 98.29225 1077.7363 630.84722 84.55822 46.849953 1.9624779 1.0403877
"61" 0.89 73.793024 93.28717 1068.09721 612.27634 77.607549 47.546363 2.2807356 0.6153258
"62" 0.868 71.19324 88.21814 1041.62216 603.08554 80.200171 42.69788 1.6305278 0.9941565
"63" 0.846 69.53255 91.38576 1028.23637 576.8694 73.343943 41.978104 1.4354869 0.9034043
"64" 0.825 69.91721 87.43176 1006.16622 572.1108 72.09498 42.166178 1.5696834 1.0209818
"65" 0.805 69.07078 82.16126 985.77014 550.54198 67.31629 39.484082 1.7015875 1.1444493
"66" 0.784 66.41869 82.3617 973.60261 528.0646 71.22638 40.749915 1.6525848 1.0764956
"67" 0.765 69.67884 77.99894 949.37059 521.64876 64.79354 36.527712 1.5718125 1.11849959
"68" 0.746 66.30922 74.69629 947.76628 508.02631 66.00884 38.704217 1.9393686 1.1542474
"69" 0.727 65.56354 74.54738 918.02415 494.66727 62.66911 36.255964 1.635002 1.0892523
"70" 0.709 65.72531 71.85004 895.57411 477.67435 61.71699 37.319514 1.953215 1.4401517
"71" 0.691 64.47528 68.94849 883.99777 463.24111 57.38123 32.626742 1.866476 0.9649622
"72" 0.673 64.19624 65.30742 858.8704 451.92425 58.40906 33.580247 1.8988792 1.19461057
"73" 0.656 63.06851 68.07623 849.67833 442.0822 56.47056 34.370654 1.5845074 0.7353319
"74" 0.639 60.27879 65.15926 824.44723 427.42133 54.42721 32.120476 2.050058 0.70399978
"75" 0.623 59.69526 64.46383 812.08552 418.15943 53.48866 32.492535 1.4460773 1.0001045
"76" 0.606 60.96363 59.87126 792.21077 405.86225 52.22684 33.623138 1.6371165 1.02538465
