"z" "snh" "snl" "onl" "onh" "dnl" "dnh" "knl" "knh"
"1" 17.296 0.950075 0.739769 0.748595 0.953255 0.240068 0.287287 0.146823 0.249412
"2" 13.214 2.95812 2.46853 2.44636 2.85889 0.907273 0.963507 0.363757 0.402513
"3" 10.84 4.60708 4.67724 4.81168 4.60491 1.30116 1.62153 0.605628 0.679516
"4" 9.259 5.63712 6.02604 6.21328 5.90664 2.1366 1.635577 0.961084 0.79155
"5" 8.118 8.336478 8.20654 7.37145 7.937438 2.030071 1.847263 0.792888 0.6355021
"6" 7.248 9.96094 10.20348 9.97466 10.42147 2.48179 2.097516 1.082283 1.098134
"7" 6.56 11.818697 10.58432 11.93603 13.021586 2.017291 2.865309 1.047548 1.579021
"8" 5.999 13.3512 14.28758 13.64572 13.86062 3.196556 3.79863 1.6298 2.406143
"9" 5.531 15.226395 14.8102526 15.829481 17.98647 2.8498443 5.69566 1.837376 3.264798
"10" 5.134 16.68394 18.52506 19.39705 22.70566 4.286522 7.96157 2.287352 3.639384
"11" 4.792 23.44719 17.75663 20.32695 29.73855 5.482806 12.874163 3.503269 3.6155787
"12" 4.494 28.48649 19.87872 22.44386 39.31395 8.267266 17.546933 4.17847 3.7559402
"13" 4.231 32.43476 24.47349 30.885425 48.18673 12.110018 22.324651 4.4069582 2.9558308
"14" 3.997 37.6549 28.31911 35.94837 55.40016 18.310033 23.905117 4.1889844 4.2504794
"15" 3.788 44.035155 33.53498 49.08727 66.115976 24.003313 25.489502 4.2580476 4.1310869
"16" 3.599 45.876931 41.13618 54.41172 75.149724 23.596911 27.814871 4.0268506 5.0296377
"17" 3.427 52.002491 42.60904 66.8638 86.318634 30.662398 27.486119 3.4985639 5.04183296
"18" 3.27 52.62057 49.159167 70.511839 92.719697 31.16861 27.141635 3.8720279 5.99397961
"19" 3.127 54.006206 51.845568 82.091231 96.07041 32.094546 27.693337 4.7418772 6.54084166
"20" 2.994 56.142644 54.772847 86.828445 108.246093 36.269619 25.978586 5.63695 6.77285111
"21" 2.872 53.286596 56.666514 95.207438 104.313459 33.195523 25.0633599 5.48778254 5.36836547
"22" 2.758 52.828365 58.386808 101.973395 106.949615 32.9496462 24.0781105 6.23866921 5.311376917
"23" 2.652 47.823352 61.028702 108.050993 112.061338 33.6962538 25.7619312 6.8857854 4.224324
"24" 2.553 45.672635 65.279304 111.271557 105.300913 31.6765991 23.6040098 8.14954037 4.362271
"25" 2.46 44.949802 59.668488 120.61246 106.706769 31.9264377 21.8507793 7.5988717 3.4156143
"26" 2.373 40.653498 64.766616 118.981886 104.05996 36.1495416 22.8986413 6.3188019 3.5828296
"27" 2.291 41.633098 66.373871 125.843458 104.882967 33.825136 21.778774 7.087581 2.8524519
"28" 2.214 38.993154 65.446619 123.759613 101.01007 32.067049 19.873628 6.4930806 3.5677877
"29" 2.141 35.798292 68.209725 129.770456 100.409052 32.8772608 20.6198689 6.7793536 2.2167286
"30" 2.072 34.305219 63.912164 129.556671 102.14845 34.7156549 19.7464231 7.8364328 2.1283889
"31" 2.006 30.29634 67.375421 129.800591 102.880422 33.4987454 19.8101827 5.8987198 2.1251146
"32" 1.944 32.40165 69.470964 131.203033 101.427607 33.1939541 17.34569193 6.9050363 1.9063946
