"z" "snh" "snl" "onl" "onh" "dnl" "dnh" "knl" "knh"
"1" 17.296 2.68034 1.71262 6.54888 8.37506 2.04218 3.20278 1.40803 2.226
"2" 13.214 22.2834 16.6737 31.8368 35.1361 17.9564 23.9864 16.1081 20.595
"3" 10.84 40.5344 40.3841 58.7782 62.0366 37.7428 41.34 35.8172 41.0609
"4" 9.259 58.38542 55.3036 84.9096 146.9047 56.2479 53.64445 61.0661 60.18813
"5" 8.118 57.79111 75.66742 170.0802 250.975 66.32183 50.44233 75.43929 59.12911
"6" 7.248 48.38975 68.1533 307.2037 254.1124 58.6229 46.24452 69.7766 54.80601
"7" 6.56 44.9384 63.00171 323.2377 215.4333 61.99141 45.400917 67.04351 45.791492
"8" 5.999 41.71479 56.94665 278.4123 208.4272 56.02828 46.75354 61.27266 42.02511
"9" 5.531 44.59926 53.067103 247.52647 222.73315 56.49707 48.48278 54.183923 41.5255
"10" 5.134 44.45557 52.21028 245.0453 229.6164 58.42146 55.60028 51.65172 42.24528
"11" 4.792 47.61192 53.936 259.2517 237.20324 62.3923 55.20365 50.3702 45.02747
"12" 4.494 49.51641 53.02383 260.176 247.57933 66.46181 56.16151 51.26329 50.54467
"13" 4.231 51.19029 56.43322 265.84434 255.58562 66.3336 56.28103 53.37269 51.71685
"14" 3.997 52.12105 58.50429 270.438 330.28642 65.53668 58.10291 57.17308 53.10238
"15" 3.788 55.9784 59.13115 276.22071 634.02423 64.50461 60.0685 57.62543 55.62756
"16" 3.599 55.49743 61.2241 284.20286 949.69676 66.71693 59.8009 63.40689 55.6627
"17" 3.427 56.58789 61.11408 293.22016 1141.61728 68.96221 62.76763 61.6948 56.73334
"18" 3.27 61.56387 62.9131 503.6525 1293.8147 68.29888 61.24529 66.25519 60.06133
"19" 3.127 61.61113 64.51059 779.00301 1332.44662 67.52773 63.41773 63.66076 59.20922
"20" 2.994 57.46852 69.49356 939.70631 1341.26128 69.82398 64.37688 65.56213 57.85025
"21" 2.872 62.42166 63.1283 1055.7185 1288.91371 68.99699 63.05864 65.37526 61.86069
"22" 2.758 59.31354 68.26931 1163.38962 1221.46101 70.26421 68.12919 63.91748 58.76905
"23" 2.652 57.50262 64.32392 1211.97664 1181.14088 68.54254 63.8038 65.16494 65.43175
"24" 2.553 60.79557 66.23298 1225.01213 1151.43983 71.96112 70.05783 66.27419 64.65921
"25" 2.46 59.92365 65.40861 1313.72272 1103.40402 71.90023 65.36525 66.11267 62.19102
"26" 2.373 59.16496 66.43812 1327.61481 1089.70661 74.85014 66.51979 66.4628 63.0607
"27" 2.291 63.82148 64.9472 1351.77089 1072.34734 68.89408 65.76495 68.58201 62.44655
"28" 2.214 60.36225 67.16819 1348.31466 1034.82472 73.18356 67.81738 68.62015 61.6139
"29" 2.141 61.44396 67.76034 1355.09106 1027.42633 74.03718 69.07281 68.59987 62.63817
"30" 2.072 61.7173 66.27419 1378.51984 997.28939 72.66791 66.88251 67.09835 66.19617
"31" 2.006 61.02782 66.1061 1379.27824 964.4477 75.25527 69.818 67.6636 65.36596
"32" 1.944 64.03765 69.6115 1366.17013 946.47855 69.28186 72.76028 66.52385 65.30937
"33" 1.884 57.18406 69.52683 1385.49291 935.48529 80.69022 68.89694 68.40923 66.19798
"34" 1.827 59.76376 69.89424 1317.35486 923.54376 75.73143 70.55417 66.97418 69.05276
"35" 1.773 62.71353 66.24136 1348.41745 908.39296 74.53378 69.77691 66.51731 67.59937
"36" 1.722 59.86248 72.10769 1310.58585 869.39089 76.30202 70.72695 65.37365 68.34914
"37" 1.672 68.13376 66.59576 1302.5837 816.76295 75.43461 77.6616 64.48145 77.82469
"38" 1.625 89.4379 70.00639 1298.4689 736.02146 74.83387 99.54446 62.08735 100.69475
"39" 1.579 105.1929 65.393431 1226.56984 728.493652 70.552893 120.7567 62.88757 117.93723
"40" 1.535 115.79362 66.7372 1135.21166 734.737079 71.89679 134.19899 63.53636 136.326534
"41" 1.493 125.493756 65.9844 1050.46015 731.25017 76.29784 140.34053 60.66252 143.351949
"42" 1.453 133.840683 62.0926 994.60609 717.175895 74.12422 159.9759 63.40516 151.35459
"43" 1.414 142.686473 67.42657 929.31645 701.29983 70.91433 166.04956 61.56303 155.28872
"44" 1.376 145.597501 59.902778 909.14175 713.517773 73.55927 176.42363 59.9177 170.650358
"45" 1.34 152.874875 61.358374 875.61974 691.412139 69.32834 181.834723 58.66205 172.604527
"46" 1.305 165.563541 62.51965 845.193038 707.181732 67.72349 185.074537 62.82391 174.315953
"47" 1.271 162.279415 62.53143 795.8817 681.750828 68.1247 190.19937 59.6498 178.473155
